Team,Season,Time Led,GF_EN,GA_EN,PP%,PK%,ROW
ANA,2018,23.9,9,10,17.8,83.2,40
ARI,2018,16.77,8,17,16.9,79.5,27
BOS,2018,21.4,18,10,23.5,83.7,47
BUF,2018,13.3,11,22,19.1,77.9,24
CGY,2018,17.13,5,12,16,81.8,35
CAR,2018,18.47,9,10,18.4,77.5,33
CHI,2018,17.55,11,14,16,79.1,32
COL,2018,21.23,20,11,21.9,83.3,41
CBJ,2018,20.6,10,10,17.2,76.2,39
DAL,2018,19.55,12,14,19.3,80.8,38
DET,2018,16.95,5,10,17.5,77.5,25
EDM,2018,15.53,11,11,14.8,76.7,31
FLA,2018,20.65,11,13,18.9,80.2,41
L.A,2018,18.17,14,9,20.4,85,43
MIN,2018,22.35,23,13,20.4,81.3,42
MTL,2018,15.33,9,12,21.2,74.1,27
NSH,2018,25.03,10,9,21.2,81.9,47
N.J,2018,19.48,5,6,21.4,81.8,39
NYI,2018,18.58,8,11,23.2,73.2,32
NYR,2018,15.2,13,15,21.2,81.4,31
OTT,2018,14.17,4,12,16.6,76.2,26
PHI,2018,18.83,15,8,20.7,75.8,40
PIT,2018,19.47,11,8,26.2,80,45
S.J,2018,20.57,14,14,20.6,84.8,40
STL,2018,20.55,12,14,15.4,79.7,41
T.B,2018,23.67,9,7,23.9,76.1,48
TOR,2018,22.3,12,9,25,81.4,42
VAN,2018,16.13,7,17,21.4,78.3,31
VGK,2018,22.28,16,7,21.4,81.4,47
WSH,2018,21.93,16,12,22.5,80.3,46
WPG,2018,27.07,13,4,23.4,81.8,48