Team,Season,GP,TOI_55,GF.60_55,GA.60_55,G_diff.60_55,xGF.60_55,xGA.60_55,xG_diff.60_55,SF.60_55,SA.60_55,S_diff.60_55,FF.60_55,FA.60_55,F_diff.60_55,CF.60_55,CA.60_55,C_diff.60_55,Sh%_55,Sv%_55
ANA,20072008,82,3429.95,1.89,1.68,0.21,1.8,1.92,-0.12,25.91,26.2,-0.3,36.18,35.65,0.52,45.97,44.4,1.57,7.3,93.62
ARI,20072008,82,3688.57,1.97,2.16,-0.2,2.04,2.27,-0.23,30.26,30.3,-0.05,40.96,42.29,-1.33,52.41,54.26,-1.85,6.62,92.79
ATL,20072008,82,3704.58,1.99,2.77,-0.78,1.77,2.28,-0.51,24.28,33.04,-8.76,32.28,43.71,-11.43,42.55,56.57,-14.03,8.27,91.55
BOS,20072008,82,3652.95,1.99,1.94,0.05,1.88,2.05,-0.17,28.28,28.56,-0.28,39.29,38.12,1.17,51.61,48.72,2.89,6.24,91.98
BUF,20072008,82,3601.63,2.63,2.4,0.23,2.07,1.94,0.13,29.04,27.87,1.17,38.67,38.15,0.52,50.09,51.03,-0.93,9.42,91.12
CAR,20072008,82,3510.95,2.58,2.46,0.12,2.28,2.25,0.03,31.91,28.47,3.43,43.56,40.11,3.45,58.09,53.63,4.46,8.26,91.12
CBJ,20072008,81,3484.48,1.84,2.05,-0.21,1.94,1.68,0.26,28.36,25.83,2.53,37.9,34.13,3.77,49.02,44.32,4.7,6.52,91.98
CGY,20072008,81,3532.9,2.38,2.17,0.2,2.13,1.9,0.24,27.34,27.33,0.02,38.86,37.24,1.61,50.93,46.01,4.93,8.71,92.04
CHI,20072008,81,3466.93,2.47,2.28,0.19,1.95,2.05,-0.1,27.67,28.11,-0.43,35.44,35.77,-0.33,45.57,45.91,-0.35,9.04,91.92
COL,20072008,82,3736.5,2.47,2.18,0.29,2.13,1.97,0.16,27.83,26.75,1.08,36.72,37.4,-0.67,46.84,50.63,-3.79,8.89,91.78
DAL,20072008,82,3580.23,2.33,2.13,0.2,1.84,1.88,-0.04,26.19,25.61,0.59,36.53,35.95,0.59,48.5,45.3,3.2,8.89,91.68
DET,20072008,82,3573.05,2.38,1.71,0.67,2.28,1.69,0.59,32.54,22.89,9.66,45.26,31.4,13.85,56.64,39.98,16.66,7.41,92.4
EDM,20072008,82,3630.25,2.36,2.69,-0.33,2.08,2.19,-0.1,26.41,30.13,-3.72,37.2,42.63,-5.42,48.81,56.46,-7.65,8.95,91.06
FLA,20072008,82,3675.62,2.15,2.2,-0.05,1.96,2.26,-0.3,29.95,32.6,-2.64,40.39,43.94,-3.56,52.27,55.08,-2.81,6.95,93.16
L.A,20072008,82,3664.47,2.21,2.82,-0.61,1.99,2.48,-0.48,26.79,31.98,-5.19,37.53,45.44,-7.91,48.97,58.22,-9.25,8.25,91.19
MIN,20072008,81,3553.92,2.13,2.28,-0.15,1.66,1.92,-0.26,25.56,29.44,-3.88,36.6,40.2,-3.6,48.66,51.14,-2.48,8.21,92.26
MTL,20072008,82,3570.98,2.35,2.3,0.05,1.93,2.2,-0.27,26.78,30.82,-4.03,37.45,43.01,-5.56,51.03,59.55,-8.52,8.55,92.56
N.J,20072008,82,3602.73,1.92,1.92,0,2.01,1.83,0.18,27.05,25.63,1.42,37.52,34.52,3,49.33,44.7,4.63,7.04,92.66
NSH,20072008,82,3564.12,2.39,2.37,0.02,2.27,2.05,0.22,29.19,29.75,-0.56,40.02,39.51,0.51,51.24,50.02,1.23,8.29,91.96
NYI,20072008,82,3612.5,1.98,2.19,-0.22,2.24,2.25,-0.02,29.68,28.58,1.1,40.03,39.91,0.12,54.05,53.22,0.83,6.73,92.39
NYR,20072008,82,3616.98,2.14,1.81,0.33,2.28,2.01,0.27,29.93,24.73,5.19,41.7,34.11,7.6,53.73,45.88,7.85,7.15,92.68
OTT,20072008,82,3609.28,2.68,2.43,0.25,2.21,2.13,0.07,29.64,28.93,0.71,40.21,39.46,0.75,54.01,51.13,2.88,9.83,91.79
PHI,20072008,82,3438.78,2.13,2.34,-0.21,1.99,2.2,-0.2,27.53,31.49,-3.96,37.43,42.56,-5.13,49.83,56.76,-6.93,7.84,92.41
PIT,20072008,82,3514.5,2.37,2.03,0.34,2.06,2.03,0.03,26.48,30.52,-4.05,36.74,42.71,-5.98,47.29,56.83,-9.54,8.96,93.43
S.J,20072008,82,3567.3,2.19,1.95,0.24,2.25,1.69,0.56,28.32,22.96,5.37,39.54,32.21,7.33,51.2,43.87,7.33,7.92,91.54
STL,20072008,82,3606.5,2.25,2.33,-0.08,1.86,2.07,-0.21,26.39,26.87,-0.48,36.32,38.53,-2.21,45.4,50.48,-5.07,8.55,91.18
T.B,20072008,82,3788.03,2.14,2.69,-0.55,1.89,1.93,-0.04,27.58,27.21,0.36,37.81,37.82,-0.02,49.67,50.91,-1.24,7.92,89.91
TOR,20072008,82,3557.68,2.48,2.55,-0.07,2.24,2.2,0.04,30.19,27.66,2.53,42.72,39.68,3.04,56.11,52.57,3.54,8.38,90.96
VAN,20072008,82,3494.45,2.03,2.09,-0.07,1.88,2,-0.12,25.82,27.59,-1.77,36.61,38.99,-2.39,47.51,50.84,-3.33,7.85,92.41
WSH,20072008,82,3660.9,2.39,2.2,0.2,2.29,1.85,0.44,30.93,25.83,5.1,43.32,35.2,8.11,58.41,46.73,11.69,7.58,91.45
ANA,20082009,82,3645.18,2.39,2.14,0.25,2.14,2.01,0.13,28.41,28.21,0.2,40.08,39.31,0.77,50.35,48.47,1.88,8.4,92.42
ARI,20082009,81,3733.4,2.02,2.54,-0.51,1.85,2.26,-0.4,26.66,31.15,-4.48,36.75,43.92,-7.17,48.92,58.48,-9.56,7.59,91.85
ATL,20082009,82,3616.12,2.44,2.65,-0.22,2.23,2.51,-0.28,27.05,32.04,-4.99,37.27,43.01,-5.74,48.48,56.26,-7.78,9.02,91.67
BOS,20082009,81,3737.65,2.65,1.8,0.85,2.2,2.15,0.06,29.17,29.84,-0.67,40.05,39.59,0.47,53.07,51.95,1.12,9.08,93.98
BUF,20082009,82,3609.03,2.48,2.39,0.08,2.05,1.92,0.13,30.22,30.27,-0.05,40.42,41.36,-0.95,52.58,54.15,-1.56,8.2,92.05
CAR,20082009,82,3645.17,2.17,2.22,-0.05,2.39,2.32,0.07,31.97,28.57,3.39,44.89,40.57,4.31,59.91,55.01,4.91,6.85,92.17
CBJ,20082009,82,3683.35,2.46,2.13,0.33,1.96,1.86,0.09,28.56,25.66,2.9,38.61,34.97,3.63,50.5,46.57,3.93,8.61,91.68
CGY,20082009,81,3562.4,2.69,2.53,0.17,2.31,2.01,0.3,32.47,28.26,4.21,45.39,39.09,6.3,60.63,48.14,12.5,8.3,91.06
CHI,20082009,82,3646.73,2.39,2.04,0.35,2.27,2,0.27,32.22,26.87,5.35,42.84,34.93,7.91,54.74,44.28,10.46,7.45,92.42
COL,20082009,82,3746.78,1.94,2.63,-0.69,1.89,1.99,-0.09,27.9,28.54,-0.64,37.68,40.88,-3.2,49.64,56.72,-7.08,7.05,90.75
DAL,20082009,82,3640.98,2.42,2.59,-0.16,1.94,2.07,-0.14,27.39,27.73,-0.35,39.32,38.76,0.56,50.38,50.61,-0.23,8.84,90.67
DET,20082009,81,3663.17,2.77,2.24,0.52,2.21,2.02,0.19,34.46,26.68,7.78,46.35,36.23,10.12,59.82,44.52,15.3,8.03,91.48
EDM,20082009,82,3655.32,2.43,2.36,0.07,2.15,2.24,-0.08,27.67,31.42,-3.74,38.69,43.42,-4.73,51.75,56.93,-5.17,8.77,92.43
FLA,20082009,82,3768.73,2.39,2.31,0.08,2.16,2.46,-0.3,28.61,34.32,-5.72,39.13,46.44,-7.31,51.84,59.27,-7.43,8.5,93.27
L.A,20082009,82,3599.65,1.88,2.25,-0.37,2.07,1.95,0.12,27.62,27.6,0.02,40.47,39.14,1.33,53.04,51.61,1.43,6.88,91.85
MIN,20082009,82,3764.37,1.94,2.17,-0.22,1.68,1.9,-0.22,25.92,29.69,-3.78,36.4,40.96,-4.56,47.99,53.75,-5.75,7.5,92.7
MTL,20082009,82,3595.47,2.35,2.45,-0.1,2.13,2.34,-0.21,28.6,31.72,-3.12,39.05,43.39,-4.34,54.02,58.81,-4.79,8.27,92.22
N.J,20082009,82,3749.88,2.34,1.92,0.42,2.21,1.95,0.26,31.15,28.42,2.74,41.97,37.91,4.06,54.79,49.49,5.3,7.55,93.14
NSH,20082009,82,3709.65,2.13,2.25,-0.11,2.08,2.25,-0.17,28.26,29.63,-1.37,39.24,41.1,-1.86,51.35,53.28,-1.92,7.56,92.41
NYI,20082009,82,3665.53,1.92,2.77,-0.85,2.08,2.55,-0.47,28.25,32.57,-4.32,38.22,45.75,-7.53,53.08,63.31,-10.23,6.77,91.47
NYR,20082009,82,3622.17,2.05,2.3,-0.25,2.71,2.57,0.15,31.7,28.92,2.78,44.08,40.2,3.88,58.27,52.36,5.91,6.48,92.04
OTT,20082009,82,3665.18,2.05,2.29,-0.25,1.95,1.99,-0.04,27.75,28.01,-0.26,37.85,38.62,-0.77,50.49,52.14,-1.65,7.37,91.76
PHI,20082009,82,3596.58,2.5,2.52,-0.02,2.17,2.38,-0.21,29.63,31.4,-1.77,40.24,43.16,-2.92,53.3,58.79,-5.49,8.55,91.93
PIT,20082009,82,3618.58,2.72,2.22,0.5,2.06,2.02,0.05,27.86,29.22,-1.36,38.68,40.26,-1.58,51.72,55.76,-4.05,9.76,92.4
S.J,20082009,82,3740.73,2.1,1.96,0.14,2.39,1.88,0.51,31.18,25.82,5.36,42.63,35.34,7.3,55.64,46.96,8.68,6.74,92.42
STL,20082009,82,3611.33,2.16,2.29,-0.13,1.96,1.99,-0.03,26.92,27.73,-0.81,38.11,39.36,-1.25,48.17,52.29,-4.12,8.02,91.73
T.B,20082009,82,3581.3,2.11,2.4,-0.28,1.98,2.12,-0.14,27.83,30.58,-2.75,37.58,41.31,-3.74,49.46,54.32,-4.86,7.68,92.11
TOR,20082009,81,3705.77,2.51,2.85,-0.34,2.22,2.27,-0.05,30.31,29.08,1.23,43.33,42.45,0.87,57.88,57.33,0.55,8.27,90.21
VAN,20082009,81,3536.45,2.51,1.95,0.56,2.08,2.03,0.04,27.38,28.16,-0.78,38.02,39.51,-1.49,50.05,51.19,-1.14,9.23,93.08
WSH,20082009,82,3660.33,2.48,2.21,0.26,2.52,2.05,0.47,32.72,27.59,5.13,45.42,37.64,7.79,62.16,50.96,11.2,7.56,91.92
ANA,20092010,82,3746.83,2.34,2.31,0.03,2.06,2.4,-0.35,28.39,31.77,-3.38,39.22,44.63,-5.41,50.28,55.92,-5.64,8.23,92.75
ARI,20092010,82,3697.47,2.4,2,0.41,2.15,2.06,0.09,30.43,28.12,2.3,42.39,40.08,2.3,55.5,51.23,4.27,7.89,92.91
ATL,20092010,82,3702.9,2.61,2.72,-0.11,2.17,2.55,-0.38,29.02,32.26,-3.24,39.08,42.79,-3.71,52.56,55.61,-3.05,8.98,91.52
BOS,20092010,82,3909.25,2,2.13,-0.14,2.08,1.91,0.16,30.51,28.24,2.27,41.55,37.73,3.82,55.44,49.93,5.51,6.53,92.45
BUF,20092010,82,3745.83,2.4,2.29,0.11,2.22,2.23,-0.01,31.25,30.66,0.59,41.9,41.89,0.02,54.64,53.96,0.67,7.83,92.54
CAR,20092010,81,3679.47,2.22,2.48,-0.26,2.25,2.55,-0.29,28.23,30.27,-2.04,40.02,43.34,-3.33,54.76,57.42,-2.66,7.85,91.81
CBJ,20092010,81,3716.67,2.1,2.63,-0.53,1.87,2.06,-0.2,27.61,29.01,-1.4,36.24,39.63,-3.39,47.33,51.4,-4.07,7.65,90.88
CGY,20092010,82,3811,2.08,2.13,-0.05,1.89,1.86,0.04,28.23,27.79,0.44,40.59,38.9,1.68,55.28,51.31,3.97,7.36,92.35
CHI,20092010,82,3881.27,2.75,2.26,0.49,2.51,1.86,0.65,33.13,23.99,9.14,44.66,32.56,12.1,58.47,44.92,13.54,8.3,90.53
COL,20092010,82,3803.22,2.4,2.3,0.09,2.09,2.21,-0.12,27.13,31.19,-4.05,36.49,42.72,-6.23,46.95,57.9,-10.95,8.89,92.62
DAL,20092010,81,3764.7,2.31,2.41,-0.1,2.01,2.07,-0.07,28.72,30.17,-1.45,39.65,42.94,-3.28,52.2,56.47,-4.27,8.05,92.02
DET,20092010,82,3855.5,2.15,2.33,-0.19,2.26,2.03,0.23,31.82,28.84,2.99,44.31,38.92,5.38,58.09,49.41,8.68,6.74,91.91
EDM,20092010,82,3807.77,2.24,2.95,-0.71,2.07,2.48,-0.41,28.06,32.62,-4.55,38.79,46.55,-7.75,50.88,62.29,-11.41,7.97,90.97
FLA,20092010,82,3810.72,2.11,2.3,-0.19,1.96,2.33,-0.37,27.35,33.46,-6.11,37.99,45.24,-7.24,49.9,62.15,-12.25,7.77,93.13
L.A,20092010,82,3760.07,2.2,2.11,0.1,2.08,1.96,0.12,27.89,26.2,1.69,39.91,37.96,1.95,51.61,50.12,1.48,7.95,91.97
MIN,20092010,82,3747.43,2.15,2.4,-0.26,1.93,1.95,-0.02,26.11,29.32,-3.2,37.4,40.46,-3.06,49.39,53.91,-4.52,8.22,91.81
MTL,20092010,82,3856.75,2.02,2.18,-0.16,1.95,2.24,-0.29,26.68,30.69,-4.01,37.74,42.72,-4.98,52.41,58.65,-6.24,7.58,92.81
N.J,20092010,82,3932.43,2.18,1.97,0.21,2.03,1.9,0.13,28.58,26.7,1.88,38.37,35.78,2.59,49.59,47.68,1.91,7.63,92.63
NSH,20092010,82,3905.33,2.24,2.17,0.08,2.13,2.1,0.03,29.54,28.5,1.04,41.76,39.12,2.64,54.59,51.42,3.16,7.59,92.4
NYI,20092010,81,3678.77,2.27,2.63,-0.36,2.39,2.51,-0.12,29.5,30.94,-1.44,40.58,42.76,-2.19,54.7,59.97,-5.27,7.68,91.46
NYR,20092010,82,3749.57,2.29,2.19,0.1,2.52,2.62,-0.1,29.06,29.48,-0.42,40.6,41.22,-0.62,54.79,55.4,-0.61,7.92,92.57
OTT,20092010,82,3795.33,2.28,2.67,-0.4,2.22,2.02,0.2,29.17,26.39,2.78,40.2,36.63,3.57,54.43,50.26,4.17,7.85,89.77
PHI,20092010,82,3654,2.28,2.32,-0.03,2.55,2.27,0.28,30.79,29.11,1.67,42.71,40.08,2.63,57.08,55.04,2.04,7.46,92
PIT,20092010,81,3640.52,2.75,2.55,0.2,2.37,2.13,0.24,31.99,28,3.99,44.33,39.9,4.43,58.71,53.99,4.71,8.6,90.83
S.J,20092010,81,3695.42,2.61,2.14,0.47,2.45,2.26,0.19,30.02,30.28,-0.26,42.44,41.91,0.54,56.71,54.38,2.34,8.85,92.92
STL,20092010,82,3664.08,2.33,2.33,0,2.15,2.22,-0.07,29.28,28.84,0.44,40.92,40.33,0.59,53.79,51.99,1.8,7.94,91.88
T.B,20092010,82,3666.72,2.14,2.54,-0.39,2.08,2.29,-0.21,27.67,30.06,-2.39,38,41.37,-3.37,49.63,54.57,-4.94,7.8,91.52
TOR,20092010,82,3786.18,2.36,2.54,-0.17,2.44,2.1,0.34,32.04,28.73,3.31,45.53,40.54,4.99,62.22,55.56,6.66,7.37,91.12
VAN,20092010,82,3670.65,2.73,2.19,0.54,2.19,2.1,0.09,29.86,28.82,1.05,41.47,39.69,1.78,54.79,51.21,3.58,9.14,92.4
WSH,20092010,82,3798.3,3.29,2.09,1.2,2.42,2.22,0.2,31.75,29.74,2.01,43.77,40.87,2.91,61.27,54.58,6.7,10.39,92.9
ANA,20102011,82,3852.9,2.07,2.4,-0.33,1.94,2.44,-0.5,26.47,31.16,-4.69,36.69,44.71,-8.02,47.06,59.07,-12.01,7.87,92.31
ARI,20102011,82,3863.82,2.42,2.05,0.37,2.26,2.39,-0.13,30.16,30.61,-0.45,42.66,43.57,-0.92,56.6,56,0.61,8.03,93.31
ATL,20102011,82,3911,2.12,2.53,-0.41,2.21,2.46,-0.25,30.3,31.17,-0.87,41.62,41.88,-0.26,54.92,57.84,-2.91,7.03,91.79
BOS,20102011,82,3935.87,2.67,1.88,0.79,2.25,2.3,-0.05,32.23,32,0.23,43.48,43.26,0.21,59.22,57.55,1.68,8.32,94.1
BUF,20102011,82,3853.65,2.51,2.23,0.28,2.25,2.14,0.1,32.06,29.57,2.49,42.49,41.21,1.28,56,55.07,0.93,7.82,92.47
CAR,20102011,82,3737,2.39,2.49,-0.1,2.46,2.67,-0.2,29.8,32.8,-3,42.55,46.82,-4.27,59.34,61.67,-2.33,8.03,92.42
CBJ,20102011,82,3775.22,2.19,2.51,-0.32,2.15,2.15,0,29.24,28.7,0.54,40.51,39.11,1.4,54.15,52.21,1.94,7.48,91.26
CGY,20102011,82,3819.17,2.5,2.28,0.22,2.15,1.81,0.34,29.66,27.08,2.58,41.95,37.74,4.21,56.37,52.41,3.96,8.46,91.6
CHI,20102011,82,3955.85,2.52,2.18,0.33,2.27,2.05,0.22,31.41,27.36,4.05,42.26,37.05,5.2,56.13,50.23,5.9,8.06,92.03
COL,20102011,82,3844.35,2.26,2.67,-0.41,2.18,2.24,-0.06,28.53,30.84,-2.31,38.78,42.81,-4.03,51.18,57.03,-5.85,7.93,91.3
DAL,20102011,82,3794.58,2.25,2.23,0.02,1.94,2.14,-0.2,25.76,29.68,-3.92,37.66,41.33,-3.67,50.99,55.28,-4.29,8.76,92.49
DET,20102011,82,3854.52,2.57,2.54,0.03,2.42,2.2,0.21,32.5,30.15,2.35,45.76,41.06,4.7,59.24,52.08,7.16,7.9,91.54
EDM,20102011,82,3770.83,1.94,2.69,-0.75,2.05,2.57,-0.52,25.89,30.53,-4.65,35.98,42.88,-6.91,50.03,57.87,-7.84,7.49,91.2
FLA,20102011,82,3912.43,2.13,2.44,-0.31,2.25,2.13,0.12,30.1,30.63,-0.52,41.71,41.88,-0.17,55.96,55.3,0.66,7.13,91.99
L.A,20102011,82,3854.7,2.29,2.1,0.19,2.12,1.95,0.17,27.91,27.6,0.31,40.72,38.99,1.73,55.21,51.76,3.46,8.25,92.39
MIN,20102011,82,3827.33,1.96,2.3,-0.34,1.79,2.18,-0.39,25.04,31.04,-6,35.24,43.49,-8.25,47.22,57.13,-9.91,7.83,92.58
MTL,20102011,82,3778.95,2.13,2.11,0.02,2.27,2.26,0.02,31.44,29.63,1.81,43.79,40.38,3.41,59.33,55.73,3.6,6.81,92.78
N.J,20102011,82,3967.53,1.75,2.21,-0.45,1.96,1.88,0.08,28.02,25.74,2.28,37.69,34.56,3.13,49.1,45.13,3.98,6.31,91.32
NSH,20102011,82,3900.23,2.34,1.98,0.35,2.19,2.1,0.09,28.63,30.21,-1.58,38.61,41.03,-2.42,51.4,53.17,-1.77,8.17,93.39
NYI,20102011,82,3786.73,2.19,2.76,-0.57,2.37,2.78,-0.41,28.05,31.52,-3.47,38.84,44.82,-5.99,53.24,62.11,-8.87,7.79,91.21
NYR,20102011,82,3829.83,2.32,2.13,0.19,2.81,2.43,0.37,29.11,29.25,-0.14,40.59,40.06,0.53,53.75,55.65,-1.9,8.02,92.72
OTT,20102011,82,3867.18,1.91,2.67,-0.76,2.13,2.19,-0.06,29.04,29.39,-0.34,39.73,40.37,-0.64,53.31,53.56,-0.25,6.67,90.92
PHI,20102011,82,3775.75,2.73,2.22,0.51,2.48,2.38,0.1,31.34,30.22,1.11,42.4,42.57,-0.17,56.86,58.7,-1.84,8.72,92.59
PIT,20102011,82,3713.62,2.33,2.04,0.29,2.14,2.08,0.07,31,28,3.01,42.44,38.55,3.89,57.87,51.77,6.11,7.54,92.68
S.J,20102011,82,3908.6,2.35,1.98,0.37,2.58,2.02,0.56,32.04,27.82,4.22,44.69,38.27,6.42,59.87,51.99,7.87,7.33,92.83
STL,20102011,82,3890.42,2.48,2.45,0.03,2.2,2.17,0.04,29.55,27.1,2.45,42.06,38.09,3.96,56.17,51.33,4.84,8.45,90.95
T.B,20102011,82,3753.95,2.45,2.38,0.06,2.36,1.89,0.47,31.23,27.17,4.06,42.99,37.99,5,56.96,52.9,4.06,7.92,91.24
TOR,20102011,82,3812.37,2.34,2.46,-0.11,1.99,2.31,-0.32,27.9,31.13,-3.23,39.64,44.57,-4.93,56.14,61.32,-5.18,8.4,92.03
VAN,20102011,82,3806.85,2.54,1.94,0.6,2.29,2.3,-0.01,30.99,29.13,1.86,43.12,39.62,3.5,57.87,52.82,5.06,8.23,93.35
