Team,GF%,adjGF%,5v5_xGF%,5v5_CF%,Time_Led,5v5_Sh%,5v5_Sv%,PP%,PK%,ROWins
ANA,52,53,48.36,48.63,22,8.2,93.27,29,85,41
ARI,,,46.18,47.95,,7.37,92.12,,,
BOS,53,54,53.46,53.55,25,7.86,92.51,25,79,49
BUF,,,44.9,47.39,,6.17,91.65,,,
CAR,,,53.08,54.42,,7.07,90.93,,,
CBJ,,,52.03,51.57,,7.48,92.82,,,
CGY,,,52.58,53.49,,6.67,91.88,,,
CHI,,,49.82,52.48,,7.13,91.79,,,
COL,,,46,47.48,,8.29,93.15,,,
DAL,,,53.41,51.24,,7.54,92.7,,,
DET,,,48.58,48.71,,7.56,91.95,,,
EDM,,,50.85,50.62,,7.54,91.71,,,
FLA,,,48.84,49.44,,7.56,92.22,,,
L.A,,,48.15,49.86,,7.83,93.24,,,
MIN,,,53.54,47.17,,8.03,92.74,,,
MTL,,,51.37,50.5,,6.41,92.21,,,
N.J,,,50.51,48.68,,7.84,91.89,,,
NSH,,,50.88,51.54,,8.23,93.51,,,
NYI,,,46.8,47.5,,8.89,91.67,,,
NYR,,,47.24,45.87,,7.61,92.2,,,
OTT,,,45.86,47.23,,7.67,90.84,,,
PHI,,,50.37,49.76,,7.86,92.41,,,
PIT,,,52.69,52.23,,7.29,91.03,,,
S.J,,,52.01,50.78,,7.48,91.8,,,
STL,,,51.71,51.8,,7.27,92.81,,,
T.B,,,52.95,51.76,,9.4,92.9,,,
TOR,,,51.01,49.85,,9.01,92.77,,,
VAN,,,46.57,47.66,,7.22,92.05,,,
VGK,,,50.77,50.98,,8.42,92.3,,,
WPG,,,52.58,51.42,,8.56,92.48,,,
WSH,,,46.65,47.89,,8.98,92.54,,,